,moving_time,timestamp,average_speed,average_temp,average_watts,suffer_score,kmeans_119
220,494,1681843700.0,5.67,21.371531966224367,87.8,65.4145810663765,80
221,552,1681807071.0,5.199,21.371531966224367,88.4,65.4145810663765,80
222,4324,1681712355.0,5.607,16.0,80.2,20.0,1
223,7808,1681627703.0,7.741,18.0,149.8,213.0,1
225,5141,1681542455.0,6.736,15.0,96.7,65.4145810663765,1
226,516,1681505052.0,5.859,21.371531966224367,89.5,65.4145810663765,1
227,522,1681490824.0,5.671,21.371531966224367,81.0,65.4145810663765,1
228,568,1681409852.0,5.024,21.371531966224367,89.5,65.4145810663765,1
229,493,1681369845.0,5.584,21.371531966224367,82.9,65.4145810663765,1
230,5207,1681278435.0,7.3,17.0,130.4,65.4145810663765,1
231,457,1681238939.0,5.96,21.371531966224367,87.0,65.4145810663765,1
232,539,1681202467.0,4.973,21.371531966224367,71.4,65.4145810663765,1
233,4684,1681107135.0,5.739,17.0,81.3,65.4145810663765,1
234,3672,1681030348.0,5.645,21.0,81.1,65.4145810663765,1
235,460,1680965260.0,5.109,21.371531966224367,79.2,65.4145810663765,1
236,427,1680951086.0,5.427,21.371531966224367,90.2,65.4145810663765,1
237,718,1680945370.0,5.567,21.371531966224367,82.0,65.4145810663765,1
238,710,1680906535.0,5.621,21.371531966224367,102.2,65.4145810663765,1
239,572,1680902804.0,5.347,21.371531966224367,76.7,65.4145810663765,1
240,648,1680896125.0,4.733,21.371531966224367,76.1,65.4145810663765,1
241,3033,1680859217.0,7.66,18.0,127.0,65.4145810663765,1
242,422,1680806201.0,6.557,21.371531966224367,111.8,65.4145810663765,1
243,589,1680781147.0,5.154,21.371531966224367,86.6,65.4145810663765,1
244,3358,1680692749.0,7.628,17.0,123.7,65.4145810663765,1
245,483,1680634319.0,5.83,21.371531966224367,92.0,65.4145810663765,107
246,481,1680604829.0,5.801,21.371531966224367,98.2,65.4145810663765,107
247,575,1680552426.0,5.254,21.371531966224367,83.9,65.4145810663765,107
248,604,1680543676.0,4.862,21.371531966224367,73.2,65.4145810663765,107
249,4368,1680502372.0,5.49,11.0,81.7,65.4145810663765,107
250,1645,1680435926.0,5.982,21.371531966224367,105.0,65.4145810663765,107
251,507,1680434596.0,5.157,21.371531966224367,94.5,65.4145810663765,107
252,1161,1680403717.0,4.341,21.371531966224367,71.6,65.4145810663765,107
253,949,1680392084.0,5.201,21.371531966224367,95.8,65.4145810663765,107
254,2710,1680335797.0,7.352,21.371531966224367,118.3,65.4145810663765,107
255,495,1680297272.0,5.463,21.371531966224367,96.0,65.4145810663765,107
256,464,1680291232.0,5.484,21.371531966224367,113.3,65.4145810663765,107
257,727,1680204111.0,4.178,21.371531966224367,63.7,65.4145810663765,107
258,632,1680176316.0,5.161,21.371531966224367,75.2,65.4145810663765,107
259,3239,1680033288.0,5.31,21.371531966224367,76.4,65.4145810663765,107
